no,productno ,colour,size,crossreference,description,brandid,brandname,brandlineid,brandlinename,img1,img2,img3,img4,img5,img6,composition,countryoforigin,genderid,gendername,ageclassid,ageclassname,seasonid,seasonname,seasonyear,productcategoryid,productcategoryname,productgroupcodeid,productgroupcodename,colorname,colorhex
011292999,8697353577178,K.HIRI,L,8697353577178,Mantel Dushi - Fashion Line,1003,OZDILEK,1003,OZDILEK,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-57711601327KOYUGRI_8697353577215.jpeg?lastmod=1140-20250106,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-57711601327KOYUGRI_8697353577215_1.jpeg?lastmod=1140-20250106,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-57711601327KOYUGRI_8697353577215_1.jpeg?lastmod=1140-20250106,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-57711601327KOYUGRI_8697353577215_1.jpeg?lastmod=1140-20250106,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-57711601327KOYUGRI_8697353577215_1.jpeg?lastmod=1140-20250106,,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,402,Bathroom,GRAY,#808080
011242909,8697353618963,BEZHE,DOUBLE,8697353618963,Set Carcafe Dyshe - Soft Line,1003,OZDILEK,1003,OZDILEK,http://91.187.98.69:8001/01/035/Published/8697353618963.jpg,http://91.187.98.69:8001/01/035/Published/8697353618963_1.jpg,,,,,100% Pambuk Organik,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,403,Bedroom,BEIGE,#F5F5DC
011278801,8697353618772,BARDHE,SINGLE,8697353618772,Set Carcafe Njeshe - L.Tunes Superman,1003,OZDILEK,1003,OZDILEK,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-61877201327SARI_8697353618772.jpeg?lastmod=1526-20240108,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-61877201327SARI_8697353618772_1.jpeg?lastmod=1526-20240108,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-61877201327SARI_8697353618772_1.jpeg?lastmod=1526-20240108,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-61877201327SARI_8697353618772_1.jpeg?lastmod=1526-20240108,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-61877201327SARI_8697353618772_1.jpeg?lastmod=1526-20240108,,100% Pambuk,Turqi,1,male,8,Adult,3,NOS,,4,Home,403,Bedroom,WHITE,#FFFFFF
011166871,8697353569005,Antracit,M,8697353569005,Peshqir Kembesh - Winter,1003,OZDILEK,1003,OZDILEK,http://91.187.98.69:8001/01/035/Published/8697353569005.jpg,,,,,,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,402,Bathroom,ANTRACIT,#2F2F2F
011094003,8697353540035,0,Single,8697353540035,Set Carcafe Njeshe - Jaune,1003,OZDILEK,1003,OZDILEK,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_12638465_8697353540035.jpeg?lastmod=1221-20210915,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_12638465_8697353540035_1.jpeg?lastmod=1221-20210915,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_12638465_8697353540035_1.jpeg?lastmod=1221-20210915,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_12638465_8697353540035_1.jpeg?lastmod=1221-20210915,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_12638465_8697353540035_1.jpeg?lastmod=1221-20210915,,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,403,Bedroom,ASSORTED,#CCCCCC 
011072358,8697353539411,0,Single,8697353539411,Set Carcafe Njeshe - Blauw,1003,OZDILEK,1003,OZDILEK,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_12638463_8697353539411.jpeg?lastmod=1331-20210913,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_12638463_8697353539411_1.jpeg?lastmod=1331-20210913,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_12638463_8697353539411_1.jpeg?lastmod=1331-20210913,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_12638463_8697353539411_1.jpeg?lastmod=1331-20210913,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_12638463_8697353539411_1.jpeg?lastmod=1331-20210913,,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,403,Bedroom,ASSORTED,#CCCCCC 
011293049,8697353639890,KREM,S/M,8697353639890,Mantel Dushi - Wowen,1003,OZDILEK,1003,OZDILEK,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-63989001327KREM_8697353639999.jpeg?lastmod=1712-20250102,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-63989001327KREM_8697353639999_1.jpeg?lastmod=1712-20250102,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-63989001327KREM_8697353639999_1.jpeg?lastmod=1712-20250102,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-63989001327KREM_8697353639999_1.jpeg?lastmod=1712-20250102,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-63989001327KREM_8697353639999_1.jpeg?lastmod=1712-20250102,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-63989001327KREM_8697353639999_2.jpeg?lastmod=1712-20250102,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,402,Bathroom,CREAM,#FFFDD0
011293069,8697353649646,HIRI,DOUBLE,8697353649646,Set Carcafe Dyshe - Naturel,1003,OZDILEK,1003,OZDILEK,http://91.187.98.69:8001/01/035/Published/8697353649646.jpg,,,,,,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,403,Bedroom,GRAY,#808080
011293005,8697353591730,PJESHKE,XL,8697353591730,Peshqir Dushi - Birds,1003,OZDILEK,1003,OZDILEK,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-59173001327SOMON_8697353591730.jpeg?lastmod=1039-20231208,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-59173001327SOMON_8697353591730_1.jpeg?lastmod=1039-20231208,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-59173001327SOMON_8697353591730_1.jpeg?lastmod=1039-20231208,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-59173001327SOMON_8697353591730_1.jpeg?lastmod=1039-20231208,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-59173001327SOMON_8697353591730_1.jpeg?lastmod=1039-20231208,,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,402,Bathroom,PEACH,#FFE5B4
011056866,8697353520228,Hiri,Double,8697353520228,Set Carcafe Dyshe - Line,1003,OZDILEK,1003,OZDILEK,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-LINECIFTSATENNEVR01327ANTRASIT_8697353520228.jpeg?lastmod=1118-20230907,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-12424784ANTRASIT_8697353520228.jpeg?lastmod=0950-20210315,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-12424784ANTRASIT_8697353520228.jpeg?lastmod=0950-20210315,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-12424784ANTRASIT_8697353520228.jpeg?lastmod=0950-20210315,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-12424784ANTRASIT_8697353520228.jpeg?lastmod=0950-20210315,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-LINECIFTSATENNEVR01327ANTRASIT_8697353520228_1.jpeg?lastmod=1118-20230907,100% PAMBUK,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,403,Bedroom,GRAY,#808080
011262104,8697353605826,PJESHKE,5-6,8697353605826,Mantel Dushi Per Femije - Peace Birds,1003,OZDILEK,1003,OZDILEK,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-60582601327SOMON_8697353605826.jpeg?lastmod=1125-20241015,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-60582601327SOMON_8697353605826_1.jpeg?lastmod=1125-20241015,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-60582601327SOMON_8697353605826_1.jpeg?lastmod=1125-20241015,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-60582601327SOMON_8697353605826_1.jpeg?lastmod=1125-20241015,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-60582601327SOMON_8697353605826_1.jpeg?lastmod=1125-20241015,,100% Pambuk,Turqi,2,female,8,Adult,3,NOS,,4,Home,402,Bathroom,PEACH,#FFE5B4
011293091,8697353635359,BARDHE,KING,8697353635359,Set Carcafe Dyshe - Lucent,1003,OZDILEK,1003,OZDILEK,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-63535901327BEYAZ_8697353635359.jpeg?lastmod=1626-20241204,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-63535901327BEYAZ_8697353635359_1.jpeg?lastmod=1626-20241204,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-63535901327BEYAZ_8697353635359_1.jpeg?lastmod=1626-20241204,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-63535901327BEYAZ_8697353635359_1.jpeg?lastmod=1626-20241204,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-63535901327BEYAZ_8697353635359_1.jpeg?lastmod=1626-20241204,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-63535901327BEYAZ_8697353635359_2.jpeg?lastmod=1626-20241204,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,403,Bedroom,WHITE,#FFFFFF
011278774,8697353548963,ZEZE,S,8697353548963,Peshqir - Colourist,1003,OZDILEK,1003,OZDILEK,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-54536801327SIYAH_8697353548963.jpeg?lastmod=1453-20230220,,,,,,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,402,Bathroom,BLACK,#000000
011292995,8697353549014,ZEZE,L,8697353549014,Mantel Dushi - Colourist,1003,OZDILEK,1003,OZDILEK,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-54601301327SIYAH_8697353549021.jpeg?lastmod=1040-20241211,,,,,,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,402,Bathroom,BLACK,#000000
011278814,8697353648007,BARDHE,DOUBLE,8697353648007,Set Carcafe Dyshe - Geometric,1003,OZDILEK,1003,OZDILEK,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-64870001327BEYAZ_8697353648007.jpeg?lastmod=1136-20241211,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-64870001327BEYAZ_8697353648007_1.jpeg?lastmod=1136-20241211,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-64870001327BEYAZ_8697353648007_1.jpeg?lastmod=1136-20241211,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-64870001327BEYAZ_8697353648007_1.jpeg?lastmod=1136-20241211,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-64870001327BEYAZ_8697353648007_1.jpeg?lastmod=1136-20241211,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-64870001327BEYAZ_8697353648007_2.jpeg?lastmod=1136-20241211,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,403,Bedroom,WHITE,#FFFFFF
011316740,8697353625336,ANTRACIT,DOUBLE,8697353625336,Set Çarçafesh & Mbulese - Gris,1003,OZDILEK,1003,OZDILEK,http://91.187.98.69:8001/01/035/Published/8697353625336.jpg,,,,,,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,403,Bedroom,ANTRACIT,#2F2F2F
011316752,8697353625428,ANTRACIT,DOUBLE,8697353625428,Set Çarçafesh & Mbulese - Maze,1003,OZDILEK,1003,OZDILEK,http://91.187.98.69:8001/01/035/Published/8697353625428.jpg,,,,,,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,403,Bedroom,ANTRACIT,#2F2F2F
011140280,8697353546013,Bardhe,L,8697353546013,Mantel Dushi - Colourist,1003,OZDILEK,1003,OZDILEK,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_12877210_8697353545887.jpeg?lastmod=1040-20241211,,,,,,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,402,Bathroom,WHITE,#FFFFFF
011223714,8697353612022,Gjelber,M,8697353612022,Peshqir Kembesh - Plaid,1003,OZDILEK,1003,OZDILEK,http://91.187.98.69:8001/01/035/Published/8697353612022.jpg,http://91.187.98.69:8001/01/035/Published/8697353612022_1.jpg,,,,,100% Pambuk Organik,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,402,Bathroom,GREEN,#008000
011140291,8697353546143,Bardhe,Xl,8697353546143,Mantel Dushi - Colourist,1003,OZDILEK,1003,OZDILEK,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_12877210_8697353545887.jpeg?lastmod=1040-20241211,,,,,,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,402,Bathroom,WHITE,#FFFFFF
011208996,8697353608728,K.Gjelber,Single,8697353608728,Çarçaf Dysheku Njeshe - Colourist,1003,OZDILEK,1003,OZDILEK,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-55818401327SUYESILI_8697353608728.jpeg?lastmod=1602-20240425,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-55818401327SUYESILI_8697353608728_1.jpeg?lastmod=1602-20240425,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-55818401327SUYESILI_8697353608728_1.jpeg?lastmod=1602-20240425,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-55818401327SUYESILI_8697353608728_1.jpeg?lastmod=1602-20240425,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-55818401327SUYESILI_8697353608728_1.jpeg?lastmod=1602-20240425,,100% PAMBUK,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,403,Bedroom,GREEN,#008000
011195638,8697353576331,Hiri,M,8697353576331,Peshqir Fytyre - Bright,1003,OZDILEK,1003,OZDILEK,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-57630001327GRI_8697353576331.jpeg?lastmod=1550-20240325,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-57630001327GRI_8697353576331_1.jpeg?lastmod=1550-20240325,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-57630001327GRI_8697353576331_1.jpeg?lastmod=1550-20240325,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-57630001327GRI_8697353576331_1.jpeg?lastmod=1550-20240325,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-57630001327GRI_8697353576331_1.jpeg?lastmod=1550-20240325,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-57630001327GRI_8697353576331_2.jpeg?lastmod=1550-20240325,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,402,Bathroom,GRAY,#808080
011278753,8697353638268,BEZHE,SINGLE,8697353638268,Set Jorgan Njeshe - Nova,1003,OZDILEK,1003,OZDILEK,http://91.187.98.69:8001/01/035/Published/8697353638268.jpg,http://91.187.98.69:8001/01/035/Published/8697353638268_1.jpg,http://91.187.98.69:8001/01/035/Published/8697353638268_2.jpg,http://91.187.98.69:8001/01/035/Published/8697353638268_3.jpg,,,Poliester,Turqi,3,unisex,8,Adult,2,Fall/Winter,2025,4,Home,403,Bedroom,BEIGE,#F5F5DC
011278755,8697353638282,HIRI,SINGLE,8697353638282,Set Jorgan Njeshe - Nova,1003,OZDILEK,1003,OZDILEK,http://91.187.98.69:8001/01/035/Published/8697353638282.jpg,http://91.187.98.69:8001/01/035/Published/8697353638282_1.jpg,http://91.187.98.69:8001/01/035/Published/8697353638282_2.jpg,http://91.187.98.69:8001/01/035/Published/8697353638282_3.jpg,,,Poliester,Turqi,3,unisex,8,Adult,2,Fall/Winter,2025,4,Home,403,Bedroom,GRAY,#808080
011208893,8697353578618,Kalter,M/L,8697353578618,Set Peshqire Per Femije - Ms Queen,1003,OZDILEK,1003,OZDILEK,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-57861801327MAVI_8697353578618.jpeg?lastmod=1410-20230904,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-57861801327MAVI_8697353578618_1.jpeg?lastmod=1410-20230904,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-57861801327MAVI_8697353578618_1.jpeg?lastmod=1410-20230904,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-57861801327MAVI_8697353578618_1.jpeg?lastmod=1410-20230904,https://img-ozdilekteyim.mncdn.com/rest/v2/medias2/container/zoom/pmc_PR-EVTEKSTILI-57861801327MAVI_8697353578618_1.jpeg?lastmod=1410-20230904,,100% Pambuk,Turqi,1,male,8,Adult,1,Spring/Summer,2025,4,Home,402,Bathroom,BLUE,#0000FF
011262075,8697353612367,K.KORAL,STANDARD,8697353612367,Pantofla Dushi - Colourist,1003,OZDILEK,1003,OZDILEK,http://91.187.98.69:8001/01/035/Published/8697353612367.jpg,,,,,,100% Pambuk,Turqi,3,unisex,8,Adult,3,NOS,,4,Home,402,Bathroom,KORAL,#FF7F50
